country,age,sex,MDS_x,MDS_y,tsne_x,tsne_y,scluster9,kmeans6
Guatemala,25-34 years,male,-1.7459049483926297,-5.110254249977525,-33.80697,-45.13075,8,1
Guatemala,35-54 years,female,-3.2177768197757084,-5.120496310797478,-20.80155,-63.843292,8,1
Guatemala,35-54 years,male,-1.7667863120749416,-5.133844551336858,-34.431095,-45.353786,8,1
Guatemala,5-14 years,female,-3.415049802647486,-5.117191295020632,-22.273533,-64.09408,8,1
Guatemala,5-14 years,male,-3.4377683108275012,-5.118092485002891,-22.49112,-64.57358,8,1
Guatemala,55-74 years,female,-3.3286153465199986,-5.119936569234147,-21.65604,-64.62625,8,1
Guatemala,55-74 years,male,-1.9614804858594934,-5.127223934208288,-34.254955,-46.26256,8,1
Guatemala,75+ years,female,-3.342368425232388,-5.13314704320681,-21.831255,-65.923676,8,1
Guatemala,75+ years,male,-1.629256365541835,-5.152031286905232,-34.338417,-43.87514,8,1
Iceland,15-24 years,female,-2.9311175138164,4.622034794031408,28.92446,-4.6565886,6,0
Iceland,15-24 years,male,2.9818056884981137,5.154677590794267,46.954082,26.954464,6,4
Iceland,25-34 years,female,-1.82593468132783,4.7507866481893295,30.00695,-2.758741,6,0
Iceland,25-34 years,male,4.665339180561561,5.019490697087102,40.26447,29.095964,6,4
Iceland,35-54 years,female,-1.3439665580376063,4.737974006135857,29.7977,-1.2488374,6,0
Iceland,35-54 years,male,2.9016129627735583,4.712749046918442,45.86045,26.794806,6,4
Iceland,5-14 years,female,-3.909131434160486,4.501941113284824,28.22913,-5.9079666,6,0
Iceland,5-14 years,male,-3.743494060505531,4.523345817820094,28.294888,-5.792202,6,0
Iceland,55-74 years,female,-0.7793933848678307,4.8488775026437665,29.726429,-0.29692864,6,0
Iceland,55-74 years,male,3.1563772568479713,4.829578459103493,43.629795,24.410706,6,4
Iceland,75+ years,female,-2.523058452491847,5.069224678233649,31.070824,-3.140312,6,0
Iceland,75+ years,male,4.296746968804778,6.520963574466463,45.071484,27.98544,6,4
Israel,15-24 years,female,-3.047263589909317,0.5787020003335758,1.7224275,56.78048,8,0
Israel,15-24 years,male,-0.9417272218389529,0.5874147609884388,-2.0422564,42.16502,8,0
Israel,25-34 years,female,-2.909878329876714,0.5798635109199926,0.9169009,56.918507,8,0
Israel,25-34 years,male,-0.627426520067606,0.5874308169991715,-1.7324703,41.54248,8,0
Israel,35-54 years,female,-2.7235239435275433,0.5803941091959598,1.0486315,56.064053,8,0
Israel,35-54 years,male,-0.08214752566211218,0.591439526524924,-1.2604554,40.602943,8,0
Israel,5-14 years,female,-3.567466301812428,0.5712531817445698,2.5254147,57.787025,8,0
Israel,5-14 years,male,-3.4868314984953384,0.5731822781469257,2.0382755,57.946934,8,0
Israel,55-74 years,female,-2.375693458719933,0.584557522267588,0.316695,55.68807,8,0
Israel,55-74 years,male,0.4710111901472934,0.5955369709638212,-0.8848859,39.911636,8,0
Israel,75+ years,female,-1.2936085748670199,0.618396698181697,-2.460673,43.072224,8,0
Israel,75+ years,male,4.114445462178883,0.6120815732017184,48.48461,12.507842,6,4
Italy,15-24 years,female,-3.135527792197285,1.2269162341463316,8.9383335,48.153793,8,0
Italy,15-24 years,male,-1.8865717119014997,1.2372470390416104,6.672506,44.741203,8,0
Italy,25-34 years,female,-2.8985715133977696,1.2294515432137534,8.49244,47.48654,8,0
Italy,25-34 years,male,-0.8979239710402392,1.2481001461257852,2.959765,40.846302,8,0
Italy,35-54 years,female,-2.5416861854874457,1.2318451171916949,7.7969995,46.53621,8,0
Italy,35-54 years,male,-0.30233354949582275,1.2528384859843087,2.5893772,40.32119,8,0
Italy,5-14 years,female,-3.5184157740897017,1.2209805052916172,9.236636,49.137905,8,0
Italy,5-14 years,male,-3.487814998639594,1.2216347713334512,9.689551,48.76561,8,0
Italy,55-74 years,female,-2.2120495189654035,1.2342640879754139,7.159369,45.644875,8,0
Italy,55-74 years,male,0.7764865020778933,1.2577935815161139,2.0706453,39.40022,8,0
Italy,75+ years,female,-1.9886464838050402,1.2381300527982,6.356797,45.30302,8,0
Italy,75+ years,male,5.124126860519754,1.2655670134858332,49.40837,12.65101,6,4
Japan,15-24 years,female,-1.4237822469017551,4.2469020409547,30.367346,39.200817,6,0
Japan,15-24 years,male,1.6170946727549687,4.230543000574737,32.86462,38.550743,6,0
Japan,25-34 years,female,0.0674163938434261,4.2370498086827615,31.199638,38.871815,6,0
Japan,25-34 years,male,4.870563237439686,4.079752953120411,42.429512,29.64136,6,4
